Year,State,Kidney disease Deaths,Kidney disease Death rate,Alzheimers disease Deaths,Alzheimers disease Death rate,Stroke Deaths,Stroke Death rate,CLRD Deaths,CLRD Death rate,Diabetes Deaths,Diabetes Death rate,Heart disease Deaths,Heart disease Death rate,Influenze and Pneu Deaths,Influenze and Pneu Death rate,Suicide Deaths,Suicide Death rate,Cancer Deaths,Cancer Death rate,Unintentional Injury Deaths,Unintentional Injury Death rate
2017,South Carolina,950,15.5,2549,45,2691,44.9,2983,47.9,1535,24.5,10418,172,723,12.3,838,16.3,10356,162.7,3147,60.2
2017,South Dakota,75,6.8,444,36.9,414,36.7,505,45.3,263,24.9,1710,150.1,217,19,191,22.5,1715,156.9,537,56.1
2017,Tennessee,1140,14.4,3522,46.7,3519,45,4657,57.4,1915,24,16019,202.2,1656,21.3,1166,16.8,14302,173.4,4435,63
2017,Texas,4256,16,9545,38.5,10790,41.3,10650,40.5,5832,21.2,45346,169.2,2954,11.2,3778,13.4,40668,146.5,10763,38.8
2017,Utah,384,15.4,991,42.1,888,36.2,826,32.1,596,22.9,3749,150.2,334,13.3,663,22.7,3161,120.3,1238,44.2
2017,Vermont,29,3.3,370,42.9,249,28.9,375,43,163,19.2,1332,152.5,86,9.7,112,18.3,1434,164.5,394,56.9
2017,Virginia,1618,16.9,2549,27.6,3555,37.5,3363,34.9,1967,20.1,14861,154.5,1245,13.1,1179,13.4,15064,152.6,3922,44
2017,Washington,439,5.3,3710,46,3028,36.9,3177,38.1,1812,21.6,11582,138.8,1041,12.6,1297,16.9,12664,148.4,3455,44
2017,West Virginia,436,17.1,770,30.6,1058,41.8,1681,64.3,864,34,4849,192,458,18.2,393,21.1,4654,179.4,1892,100.3
2017,Wisconsin,922,12.5,2428,31.6,2513,33.5,2834,38.3,1433,19.4,11860,157.6,974,12.9,926,15.4,11318,153.2,3746,58.3
2017,Wyoming,63,9.5,212,32.7,190,28.4,366,53.8,121,18.1,1001,148.9,115,17.5,157,26.9,948,136.1,348,56.9
2016,Alabama,1012,17.4,2507,45,2967,51.6,3326,56.2,1183,20.1,12832,222.5,987,17.1,788,15.7,10419,174,2755,55.5
2016,Alaska,53,10,111,25.8,196,39,238,41.5,124,19.3,831,141,61,12.5,193,25.8,995,158.7,439,63.1
2016,Arizona,487,5.7,3082,35.8,2556,29.8,3800,43.5,2025,23.9,11957,138.9,885,10.4,1271,17.7,11876,136.8,4010,54.2
2016,Arkansas,722,20,1475,41.3,1643,45.6,2169,59.1,920,25.4,8090,223.7,623,17.1,555,18.2,6612,178.8,1604,51.8
2016,California,3640,8.6,15570,36.1,15680,36.9,13710,32.6,9124,21.4,61573,143.1,5981,14,4294,10.5,59515,139.7,13213,32
2016,Colorado,491,8.9,1835,34.7,1927,35.2,2575,46.4,938,16.2,7277,129.8,533,9.6,1168,20.5,7928,137.1,2880,51.2
2016,Connecticut,570,12.1,1035,20.3,1269,26.3,1425,30.5,699,14.9,7051,144.3,572,11.7,397,10.1,6696,144.9,1978,50.3
2016,Delaware,208,17.1,329,27.4,506,41.6,544,43.7,203,17,1974,163.2,132,10.7,119,11.5,2124,170.8,516,52.4
2016,District of Columbia,57,9,120,18.3,252,38.4,152,24,127,19.8,1375,211.7,78,11.5,40,5.2,1044,160.1,401,58.3
2016,Florida,3144,10.2,7155,21.5,11854,37.3,11970,38,5782,19.5,45659,146.2,2808,9.3,3143,14,44266,146.9,12561,54.9
2016,Georgia,1864,18.4,4021,44.8,4349,44.3,4805,47.3,2238,21.2,18143,179,1423,14.3,1409,13.3,17184,160.2,4701,45.8
2016,Hawaii,215,11.2,445,20.1,675,34.3,342,17.7,285,15.1,2488,127,507,24.4,174,12.1,2401,128.7,577,35.3
2016,Idaho,190,10.3,607,33.9,682,37.2,865,45.7,375,19.8,2969,160,207,11.3,351,21.4,2884,150.9,849,49.5
2016,Illinois,2518,17,3877,25.4,5658,37.8,5632,38.1,2781,18.7,25013,165.7,2178,14.5,1415,10.7,24389,163.5,5508,41
2016,Indiana,1411,18.4,2678,34.9,3040,39.5,4214,54.6,1992,26,13952,180.6,962,12.6,1034,15.4,13424,172.5,3496,51.6
2016,Iowa,352,8.3,1415,31.3,1388,32.3,2006,48.6,847,20.9,6937,162.8,504,11.6,451,14.6,6432,159.8,1608,45.8
2016,Kansas,533,15,855,23.1,1363,38.6,1654,48.3,727,21.2,5672,159.2,522,14.4,514,17.9,5484,158.6,1444,45.7
2016,Kentucky,1034,20.3,1728,35.1,2057,40.4,3486,66.3,1479,28.4,10519,203,888,17.3,756,16.8,10363,193.8,3194,71
2016,Louisiana,1153,22.6,2195,45,2322,46,2221,43,1324,25.5,10943,213.1,720,14.3,677,14.2,9149,171.9,2710,57.4
2016,Maine,239,12.4,577,29.6,663,34.4,928,47.4,463,23.9,2907,149.5,231,12,226,15.9,3275,168.9,909,62.4
2016,Maryland,823,12.1,1178,17.4,2709,39.7,2072,30.5,1358,19.6,11390,164.3,1025,15.1,586,9.4,10911,156.5,2271,35.7
2016,Massachusetts,1139,13.2,1708,18.6,2468,27.9,2674,31.4,1268,14.9,11921,134.8,1251,14.1,631,8.8,12717,150.2,3831,52.8
2016,Michigan,1791,14.3,4249,33.6,4874,39,5572,44.4,2672,21.5,25304,200.6,1672,13.7,1364,13.3,20870,166.4,5313,50.5
2016,Minnesota,588,8.8,2219,31.8,2197,32.5,2369,35.8,1265,19.2,7825,114.9,529,7.8,745,13.2,9857,148.6,2697,43.8
2016,Mississippi,763,22.8,1485,45.8,1705,50.6,2116,62,1084,31.9,7865,233.1,785,23.4,383,12.7,6568,187.7,1803,59.2
2016,Missouri,1483,19.6,2302,30,3069,40.4,3961,52.1,1508,20.1,14579,192.1,1150,15.1,1133,18.4,12696,167,3625,57
2016,Montana,155,11.3,314,22.6,440,32.5,722,51.9,311,23.6,2138,154.4,147,11.1,267,25.9,2031,145.9,626,54.1
2016,Nebraska,220,9.5,634,26.2,787,33.2,1117,48.9,501,21.9,3322,140.3,342,14.3,246,13.1,3477,153.6,772,37
2016,Nevada,274,8.8,686,24.6,1096,35.9,1778,56.6,580,17.9,6457,205.9,567,18.1,650,21.4,5214,157.3,1395,46
2016,New Hampshire,161,9.4,430,24.8,490,28,684,39.3,316,17.9,2631,151.1,203,11.8,244,17.2,2875,164.1,924,66.6
2016,New Jersey,1535,13.8,2435,21.1,3401,30.4,3064,27.9,1949,17.8,18597,164.7,1208,10.7,687,7.2,16377,149.7,3839,40.8
2016,New Mexico,293,11.7,583,23.5,885,35.5,1131,44.4,678,27.2,3800,150.6,353,14.6,471,22.5,3560,138.8,1487,69.5
2016,New York,2385,9.8,3349,13.1,6258,25.5,6860,28.4,4038,16.9,44076,177.8,4513,18.3,1679,8.1,35368,147.5,7354,34.2
2016,North Carolina,2002,17.1,4153,37.2,4940,43,5311,44.8,2811,23.5,18266,155.8,1896,16.5,1373,13,19523,161.6,5476,52.2
2016,North Dakota,106,11.3,361,35.3,311,32.7,314,34.7,171,19.4,1338,140.9,134,14.5,140,19,1253,142.7,371,45.4
2016,Ohio,2262,15.4,5031,33.4,5987,40.6,7015,47.5,3568,24.6,27410,185.1,2187,15,1707,14.2,25509,173.4,7999,66.6
